site,chunk_start_utc,chunk_end_utc,chunk_file,chunk_sessions,chunk_status,pages_completed,error
caltech,2019-01-01 00:00:00+00:00,2019-01-08 00:00:00+00:00,caltech_20190101T000000_20190108T000000.jsonl,169,downloaded,7,
caltech,2019-01-08 00:00:00+00:00,2019-01-15 00:00:00+00:00,caltech_20190108T000000_20190115T000000.jsonl,224,downloaded,9,
caltech,2019-01-15 00:00:00+00:00,2019-01-22 00:00:00+00:00,caltech_20190115T000000_20190122T000000.jsonl,244,downloaded,10,
caltech,2019-01-22 00:00:00+00:00,2019-01-29 00:00:00+00:00,caltech_20190122T000000_20190129T000000.jsonl,230,downloaded,10,
caltech,2019-01-29 00:00:00+00:00,2019-02-05 00:00:00+00:00,caltech_20190129T000000_20190205T000000.jsonl,224,downloaded,9,
caltech,2019-02-05 00:00:00+00:00,2019-02-12 00:00:00+00:00,caltech_20190205T000000_20190212T000000.jsonl,230,downloaded,10,
caltech,2019-02-12 00:00:00+00:00,2019-02-19 00:00:00+00:00,caltech_20190212T000000_20190219T000000.jsonl,216,downloaded,9,
caltech,2019-02-19 00:00:00+00:00,2019-02-26 00:00:00+00:00,caltech_20190219T000000_20190226T000000.jsonl,245,downloaded,10,
caltech,2019-02-26 00:00:00+00:00,2019-03-05 00:00:00+00:00,caltech_20190226T000000_20190305T000000.jsonl,227,downloaded,10,
caltech,2019-03-05 00:00:00+00:00,2019-03-12 00:00:00+00:00,caltech_20190305T000000_20190312T000000.jsonl,213,downloaded,9,
caltech,2019-03-12 00:00:00+00:00,2019-03-19 00:00:00+00:00,caltech_20190312T000000_20190319T000000.jsonl,251,downloaded,11,
caltech,2019-03-19 00:00:00+00:00,2019-03-26 00:00:00+00:00,caltech_20190319T000000_20190326T000000.jsonl,214,downloaded,9,
caltech,2019-03-26 00:00:00+00:00,2019-04-02 00:00:00+00:00,caltech_20190326T000000_20190402T000000.jsonl,225,downloaded,9,
caltech,2019-04-02 00:00:00+00:00,2019-04-09 00:00:00+00:00,caltech_20190402T000000_20190409T000000.jsonl,236,downloaded,10,
caltech,2019-04-09 00:00:00+00:00,2019-04-16 00:00:00+00:00,caltech_20190409T000000_20190416T000000.jsonl,241,downloaded,10,
caltech,2019-04-16 00:00:00+00:00,2019-04-23 00:00:00+00:00,caltech_20190416T000000_20190423T000000.jsonl,235,downloaded,10,
caltech,2019-04-23 00:00:00+00:00,2019-04-30 00:00:00+00:00,caltech_20190423T000000_20190430T000000.jsonl,237,downloaded,10,
caltech,2019-04-30 00:00:00+00:00,2019-05-07 00:00:00+00:00,caltech_20190430T000000_20190507T000000.jsonl,218,downloaded,9,
caltech,2019-05-07 00:00:00+00:00,2019-05-14 00:00:00+00:00,caltech_20190507T000000_20190514T000000.jsonl,239,downloaded,10,
caltech,2019-05-14 00:00:00+00:00,2019-05-21 00:00:00+00:00,caltech_20190514T000000_20190521T000000.jsonl,221,downloaded,9,
caltech,2019-05-21 00:00:00+00:00,2019-05-28 00:00:00+00:00,caltech_20190521T000000_20190528T000000.jsonl,191,downloaded,8,
caltech,2019-05-28 00:00:00+00:00,2019-06-04 00:00:00+00:00,caltech_20190528T000000_20190604T000000.jsonl,206,downloaded,9,
caltech,2019-06-04 00:00:00+00:00,2019-06-11 00:00:00+00:00,caltech_20190604T000000_20190611T000000.jsonl,209,downloaded,9,
caltech,2019-06-11 00:00:00+00:00,2019-06-18 00:00:00+00:00,caltech_20190611T000000_20190618T000000.jsonl,235,downloaded,10,
caltech,2019-06-18 00:00:00+00:00,2019-06-25 00:00:00+00:00,caltech_20190618T000000_20190625T000000.jsonl,209,downloaded,9,
caltech,2019-06-25 00:00:00+00:00,2019-07-02 00:00:00+00:00,caltech_20190625T000000_20190702T000000.jsonl,198,downloaded,8,
caltech,2019-07-02 00:00:00+00:00,2019-07-09 00:00:00+00:00,caltech_20190702T000000_20190709T000000.jsonl,131,downloaded,6,
caltech,2019-07-09 00:00:00+00:00,2019-07-16 00:00:00+00:00,caltech_20190709T000000_20190716T000000.jsonl,185,downloaded,8,
caltech,2019-07-16 00:00:00+00:00,2019-07-23 00:00:00+00:00,caltech_20190716T000000_20190723T000000.jsonl,205,downloaded,9,
caltech,2019-07-23 00:00:00+00:00,2019-07-30 00:00:00+00:00,caltech_20190723T000000_20190730T000000.jsonl,194,downloaded,8,
caltech,2019-07-30 00:00:00+00:00,2019-08-06 00:00:00+00:00,caltech_20190730T000000_20190806T000000.jsonl,190,downloaded,8,
caltech,2019-08-06 00:00:00+00:00,2019-08-13 00:00:00+00:00,caltech_20190806T000000_20190813T000000.jsonl,199,downloaded,8,
caltech,2019-08-13 00:00:00+00:00,2019-08-20 00:00:00+00:00,caltech_20190813T000000_20190820T000000.jsonl,190,downloaded,8,
caltech,2019-08-20 00:00:00+00:00,2019-08-27 00:00:00+00:00,caltech_20190820T000000_20190827T000000.jsonl,197,downloaded,8,
caltech,2019-08-27 00:00:00+00:00,2019-09-03 00:00:00+00:00,caltech_20190827T000000_20190903T000000.jsonl,183,downloaded,8,
caltech,2019-09-03 00:00:00+00:00,2019-09-10 00:00:00+00:00,caltech_20190903T000000_20190910T000000.jsonl,218,downloaded,9,
