session_id,record_id,site,station_id,space_id,cluster_id,user_id,connection_time_utc,disconnect_time_utc,done_charging_time_utc,kwh_delivered,source_max_power_kw,user_inputs_json,source_file,source_row_number,extraction_start_utc,extraction_end_utc_exclusive,session_id_derived
19_102_260_1640_2019-04-03 20:18:06.144765,5cd1d489f9af8b68f0e96723,office001,19-102-260-1640,08,0102,,2019-04-03T20:18:06+00:00,2019-04-04T04:03:02+00:00,2019-04-04T04:02:54+00:00,47.887,,[],office001_2019_raw.jsonl,0,2019-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,False
19_102_260_1636_2019-04-03 18:16:59.791638,5cd1d489f9af8b68f0e96722,office001,19-102-260-1636,06,0102,,2019-04-03T18:17:00+00:00,2019-04-04T02:20:31+00:00,2019-04-03T22:29:27+00:00,14.144,,[],office001_2019_raw.jsonl,1,2019-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,False
19_102_260_1634_2019-04-02 20:14:39.061596,5cd1d488f9af8b68f0e96721,office001,19-102-260-1634,03,0102,,2019-04-02T20:14:39+00:00,2019-04-03T00:19:07+00:00,2019-04-02T22:43:48+00:00,15.53,,[],office001_2019_raw.jsonl,2,2019-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,False
19_102_260_1636_2019-04-01 18:22:15.377899,5cd1d486f9af8b68f0e96720,office001,19-102-260-1636,06,0102,,2019-04-01T18:22:15+00:00,2019-04-02T01:55:46+00:00,2019-04-01T22:57:22+00:00,15.1,,[],office001_2019_raw.jsonl,3,2019-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,False
19_102_260_1634_2019-04-01 17:22:05.846606,5cd1d486f9af8b68f0e9671f,office001,19-102-260-1634,03,0102,,2019-04-01T17:22:06+00:00,2019-04-02T00:19:14+00:00,2019-04-01T23:10:19+00:00,34.468,,[],office001_2019_raw.jsonl,4,2019-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,False
19_102_260_1638_2019-04-01 17:16:23.378843,5cd1d486f9af8b68f0e9671e,office001,19-102-260-1638,04,0102,,2019-04-01T17:16:23+00:00,2019-04-02T02:16:44+00:00,2019-04-02T02:16:31+00:00,55.288,,[],office001_2019_raw.jsonl,5,2019-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,False
19_102_260_1633_2019-04-01 16:27:57.666139,5cd1d486f9af8b68f0e9671d,office001,19-102-260-1633,02,0102,,2019-04-01T16:27:58+00:00,2019-04-01T19:44:01+00:00,2019-04-01T17:38:02+00:00,6.307,,[],office001_2019_raw.jsonl,6,2019-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,False
19_102_260_1634_2019-03-29 20:49:20.589006,5cd1d481f9af8b68f0e9671c,office001,19-102-260-1634,03,0102,,2019-03-29T20:49:21+00:00,2019-03-30T00:56:22+00:00,2019-03-29T22:00:16+00:00,7.328,,[],office001_2019_raw.jsonl,7,2019-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,False
19_102_260_1640_2019-03-29 20:21:24.158802,5cd1d481f9af8b68f0e9671b,office001,19-102-260-1640,08,0102,,2019-03-29T20:21:24+00:00,2019-03-30T03:12:29+00:00,2019-03-29T23:45:47+00:00,21.026,,[],office001_2019_raw.jsonl,8,2019-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,False
19_102_260_1636_2019-03-29 18:26:24.250355,5cd1d481f9af8b68f0e9671a,office001,19-102-260-1636,06,0102,,2019-03-29T18:26:24+00:00,2019-03-30T00:08:16+00:00,2019-03-29T23:07:46+00:00,15.762,,[],office001_2019_raw.jsonl,9,2019-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,False
