session_id,record_id,site,station_id,space_id,cluster_id,user_id,source_file,session_id_derived,arrival_utc,departure_utc,done_charging_utc,requested_departure_utc,arrival_local,departure_local,done_charging_local,requested_departure_local,arrival_minute,departure_minute,arrival_hour,departure_hour,day_of_week,day_name,day_type,overnight,energy_delivered_kwh,energy_requested_kwh,energy_required_kwh,energy_requirement_source,minutes_available_requested,miles_requested,source_max_power_kw,max_power_kw,max_power_source,max_power_assumed,dwell_hours,historical_charge_hours,post_charge_slack_hours,requested_notice_hours,minimum_charge_hours,flexibility_hours_raw,flexibility_hours,observed_average_power_kw,maximum_deliverable_kwh_assumed,energy_margin_kwh,infeasible_under_assumed_power,base_valid,optimisation_ready,exclusion_reason
2_39_129_17_2019-01-31 02:20:53.661205,5c6767b9f9af8b2933b72e88,caltech,2-39-129-17,CA-307,39,1152.0,caltech_2019_raw.jsonl,False,2019-01-31 02:20:54+00:00,2019-02-02 03:27:07+00:00,2019-01-31 06:51:33+00:00,,2019-01-30 18:20:54-08:00,2019-02-01 19:27:07-08:00,2019-01-30 22:51:33-08:00,,1100,1167,18.333333333333332,19.45,2,Wednesday,weekday,True,15.75,16.0,15.75,delivered,60.0,40.0,,6.6,site_default_assumption,True,49.103611111111114,4.510833333333333,44.592777777777776,,2.651515151515152,46.452095959595965,46.452095959595965,0.3207503408325932,291.67545,275.92545,False,False,False,dwell_too_long
2_39_123_23_2019-02-03 20:53:35.302183,5c6cada9f9af8b3710acd3a0,caltech,2-39-123-23,CA-313,39,1826.0,caltech_2019_raw.jsonl,False,2019-02-03 20:53:35+00:00,2019-02-09 17:50:05+00:00,2019-02-03 23:11:55+00:00,,2019-02-03 12:53:35-08:00,2019-02-09 09:50:05-08:00,2019-02-03 15:11:55-08:00,,773,590,12.883333333333333,9.833333333333334,6,Sunday,weekend,True,14.162,16.0,14.162,delivered,320.0,40.0,,6.6,site_default_assumption,True,140.94166666666666,2.3055555555555554,138.63611111111112,,2.3841750841750846,138.55749158249156,138.55749158249156,0.10048128658428429,837.1934999999999,823.0314999999998,False,False,False,dwell_too_long
2_39_95_27_2019-02-16 02:31:02.405020,5c7c7fb6f9af8b0931694acc,caltech,2-39-95-27,CA-319,39,292.0,caltech_2019_raw.jsonl,False,2019-02-16 02:31:02+00:00,2019-02-19 05:22:16+00:00,2019-02-19 05:10:08+00:00,,2019-02-15 18:31:02-08:00,2019-02-18 21:22:16-08:00,2019-02-18 21:10:08-08:00,,1111,1282,18.516666666666666,21.366666666666667,4,Friday,weekday,True,44.899,54.0,44.899,delivered,720.0,270.0,,6.6,site_default_assumption,True,74.85388888888889,74.65166666666667,0.20222222222222222,,7.55875420875421,67.29513468013468,67.29513468013468,0.59982187520874,444.6321,399.7331,False,False,False,dwell_too_long
2_39_128_18_2019-03-05 16:27:42.399597,5c942ca4f9af8b06b04b3b9f,caltech,2-39-128-18,CA-308,39,1366.0,caltech_2019_raw.jsonl,False,2019-03-05 16:27:42+00:00,2019-03-09 03:33:46+00:00,2019-03-05 18:28:25+00:00,,2019-03-05 08:27:42-08:00,2019-03-08 19:33:46-08:00,2019-03-05 10:28:25-08:00,,507,1173,8.45,19.55,1,Tuesday,weekday,True,6.067,12.0,6.067,delivered,333.0,20.0,,6.6,site_default_assumption,True,83.10111111111111,2.0119444444444445,81.08916666666667,,1.0213804713804715,82.07973063973064,82.07973063973064,0.07300744742014414,493.62059999999997,487.55359999999996,False,False,False,dwell_too_long
2_39_127_19_2019-03-12 05:07:44.494336,5c9c15a2f9af8b56f42df55f,caltech,2-39-127-19,CA-309,39,1202.0,caltech_2019_raw.jsonl,False,2019-03-12 05:07:44+00:00,2019-03-14 05:33:47+00:00,2019-03-12 08:50:19+00:00,,2019-03-11 22:07:44-07:00,2019-03-13 22:33:47-07:00,2019-03-12 01:50:19-07:00,,1327,1353,22.116666666666667,22.55,0,Monday,weekday,True,11.71,15.0,11.71,delivered,161.0,40.0,,6.6,site_default_assumption,True,48.43416666666667,3.709722222222222,44.724444444444444,,1.9713804713804717,46.4627861952862,46.4627861952862,0.24177147674678687,287.69894999999997,275.98895,False,False,False,dwell_too_long
2_39_91_437_2019-03-29 16:00:02.031826,5cb3d172f9af8b4551261e31,caltech,2-39-91-437,CA-317,39,431.0,caltech_2019_raw.jsonl,False,2019-03-29 16:00:02+00:00,2019-04-07 14:19:21+00:00,2019-04-07 00:00:59+00:00,,2019-03-29 09:00:02-07:00,2019-04-07 07:19:21-07:00,2019-04-06 17:00:59-07:00,,540,439,9.0,7.316666666666666,4,Friday,weekday,True,13.198,18.0,13.198,delivered,251.0,60.0,,6.6,site_default_assumption,True,214.32194444444445,200.01583333333335,14.306111111111111,,2.2218855218855222,212.10005892255893,212.10005892255893,0.061580255042064186,1273.07235,1259.8743499999998,False,False,False,dwell_too_long
2_39_127_19_2019-04-12 06:06:51.262929,5cc4f426f9af8b3a0277ea67,caltech,2-39-127-19,CA-309,39,,caltech_2019_raw.jsonl,False,2019-04-12 06:06:51+00:00,2019-04-17 02:20:31+00:00,2019-04-16 23:07:26+00:00,,2019-04-11 23:06:51-07:00,2019-04-16 19:20:31-07:00,2019-04-16 16:07:26-07:00,,1386,1160,23.1,19.333333333333332,3,Thursday,weekday,True,1.056,,1.056,delivered,,,,6.6,site_default_assumption,True,116.22777777777777,113.00972222222222,3.2180555555555554,,0.1777777777777778,116.05,116.05,0.009085607762535253,690.3929999999999,689.3369999999999,False,False,False,dwell_too_long
2_39_130_31_2019-04-25 01:21:17.564385,5cd617a5f9af8b785a018413,caltech,2-39-130-31,CA-306,39,1826.0,caltech_2019_raw.jsonl,False,2019-04-25 01:21:39+00:00,2019-04-27 19:10:47+00:00,2019-04-25 03:57:02+00:00,,2019-04-24 18:21:39-07:00,2019-04-27 12:10:47-07:00,2019-04-24 20:57:02-07:00,,1101,730,18.35,12.166666666666666,2,Wednesday,weekday,True,13.96,80.0,13.96,delivered,720.0,200.0,,6.6,site_default_assumption,True,65.81888888888889,2.589722222222222,63.229166666666664,,2.3501683501683504,63.46872053872054,63.46872053872054,0.2120971689991053,390.9642,377.0042,False,False,False,dwell_too_long
2_39_79_377_2019-05-05 09:22:37.577213,5ce49814f9af8b26784ed8d3,caltech,2-39-79-377,CA-325,39,1826.0,caltech_2019_raw.jsonl,False,2019-05-05 09:22:38+00:00,2019-05-08 00:11:38+00:00,2019-05-05 15:48:24+00:00,,2019-05-05 02:22:38-07:00,2019-05-07 17:11:38-07:00,2019-05-05 08:48:24-07:00,,142,1031,2.3666666666666667,17.183333333333334,6,Sunday,weekend,True,14.062,40.0,14.062,delivered,720.0,100.0,,6.6,site_default_assumption,True,62.81666666666667,6.429444444444444,56.38722222222222,,2.3673400673400673,60.449326599326604,60.449326599326604,0.2238577872114619,373.131,359.06899999999996,False,False,False,dwell_too_long
2_39_126_20_2019-05-06 00:38:39.918068,5ce49814f9af8b26784ed8dc,caltech,2-39-126-20,CA-310,39,243.0,caltech_2019_raw.jsonl,False,2019-05-06 00:38:47+00:00,2019-05-06 00:43:54+00:00,2019-05-06 00:43:50+00:00,,2019-05-05 17:38:47-07:00,2019-05-05 17:43:54-07:00,2019-05-05 17:43:50-07:00,,1058,1063,17.633333333333333,17.716666666666665,6,Sunday,weekend,False,0.574,16.0,0.574,delivered,61.0,80.0,,6.6,site_default_assumption,True,0.08527777777777777,0.08416666666666667,0.0011111111111111111,,0.09663299663299664,-0.011355218855218868,0.0,6.730944625407166,0.50655,-0.06745000000000001,True,False,False,dwell_too_short
2_39_89_25_2019-05-15 06:05:06.827135,5cf075a7f9af8b74808d82d6,caltech,2-39-89-25,CA-315,39,1826.0,caltech_2019_raw.jsonl,False,2019-05-15 06:05:07+00:00,2019-05-20 00:19:09+00:00,2019-05-15 07:40:16+00:00,,2019-05-14 23:05:07-07:00,2019-05-19 17:19:09-07:00,2019-05-15 00:40:16-07:00,,1385,1039,23.083333333333332,17.316666666666666,1,Tuesday,weekday,True,9.831,40.0,9.831,delivered,231.0,100.0,,6.6,site_default_assumption,True,114.23388888888888,1.5858333333333334,112.64805555555556,,1.655050505050505,112.57883838383837,112.57883838383837,0.08606027594457764,678.5492999999999,668.7182999999999,False,False,False,dwell_too_long
2_39_138_29_2019-05-23 16:18:45.048941,5cfc532bf9af8b22aca6b29e,caltech,2-39-138-29,CA-304,39,,caltech_2019_raw.jsonl,False,2019-05-23 16:18:45+00:00,2019-05-28 15:13:05+00:00,2019-05-26 20:53:17+00:00,,2019-05-23 09:18:45-07:00,2019-05-28 08:13:05-07:00,2019-05-26 13:53:17-07:00,,558,493,9.3,8.216666666666667,3,Thursday,weekday,True,1.084,,1.084,delivered,,,,6.6,site_default_assumption,True,118.90555555555555,76.57555555555555,42.33,,0.1824915824915825,118.72306397306397,118.72306397306397,0.009116478998271272,706.2989999999999,705.2149999999999,False,False,False,dwell_too_long
2_39_126_20_2019-05-26 00:38:24.422338,5cfef610f9af8b2ac373625b,caltech,2-39-126-20,CA-310,39,243.0,caltech_2019_raw.jsonl,False,2019-05-26 00:38:32+00:00,2019-05-26 00:44:07+00:00,2019-05-26 00:44:02+00:00,,2019-05-25 17:38:32-07:00,2019-05-25 17:44:07-07:00,2019-05-25 17:44:02-07:00,,1058,1064,17.633333333333333,17.733333333333334,5,Saturday,weekend,False,0.624,22.0,0.624,delivered,88.0,110.0,,6.6,site_default_assumption,True,0.09305555555555556,0.09166666666666666,0.001388888888888889,,0.10505050505050506,-0.011994949494949503,0.0,6.705671641791045,0.55275,-0.07125000000000004,True,False,False,dwell_too_short
2_39_127_19_2019-06-07 22:50:13.078217,5d1019a2f9af8b665624670c,caltech,2-39-127-19,CA-309,39,1152.0,caltech_2019_raw.jsonl,False,2019-06-07 22:50:13+00:00,2019-06-10 01:15:36+00:00,2019-06-09 10:47:03+00:00,,2019-06-07 15:50:13-07:00,2019-06-09 18:15:36-07:00,2019-06-09 03:47:03-07:00,,950,1095,15.833333333333334,18.25,4,Friday,weekday,True,14.882,15.0,14.882,delivered,60.0,50.0,,6.6,site_default_assumption,True,50.42305555555556,35.94722222222222,14.475833333333334,,2.5053872053872057,47.91766835016835,47.91766835016835,0.295142764277805,299.51295,284.63095,False,False,False,dwell_too_long
2_39_79_382_2019-06-10 15:37:57.311736,5d140e24f9af8b71c9e4cd0e,caltech,2-39-79-382,CA-491,39,,caltech_2019_raw.jsonl,False,2019-06-10 15:37:57+00:00,2019-06-12 17:07:39+00:00,2019-06-12 00:20:51+00:00,,2019-06-10 08:37:57-07:00,2019-06-12 10:07:39-07:00,2019-06-11 17:20:51-07:00,,517,607,8.616666666666667,10.116666666666667,0,Monday,weekday,True,0.896,,0.896,delivered,,,,6.6,site_default_assumption,True,49.495,32.715,16.78,,0.15084175084175086,49.34415824915825,49.34415824915825,0.018102838670572788,294.0003,293.10429999999997,False,False,False,dwell_too_long
2_39_95_27_2019-07-08 00:11:53.153549,5d37a692f9af8b64a8ebe2a2,caltech,2-39-95-27,CA-319,39,1202.0,caltech_2019_raw.jsonl,False,2019-07-08 00:11:53+00:00,2019-07-11 03:52:35+00:00,2019-07-09 18:49:25+00:00,,2019-07-07 17:11:53-07:00,2019-07-10 20:52:35-07:00,2019-07-09 11:49:25-07:00,,1031,1252,17.183333333333334,20.866666666666667,6,Sunday,weekend,True,12.17,15.0,12.17,delivered,276.0,40.0,,6.6,site_default_assumption,True,75.67833333333333,42.62555555555556,33.05277777777778,,2.048821548821549,73.62951178451178,73.62951178451178,0.1608122095712115,449.5292999999999,437.3592999999999,False,False,False,dwell_too_long
2_39_92_442_2019-07-15 00:12:55.276321,5d40e112f9af8b04cd40a19f,caltech,2-39-92-442,CA-498,39,431.0,caltech_2019_raw.jsonl,False,2019-07-15 00:12:55+00:00,2019-07-18 03:49:16+00:00,2019-07-15 04:57:34+00:00,,2019-07-14 17:12:55-07:00,2019-07-17 20:49:16-07:00,2019-07-14 21:57:34-07:00,,1032,1249,17.2,20.816666666666666,6,Sunday,weekend,True,13.258,18.0,13.258,delivered,170.0,60.0,,6.6,site_default_assumption,True,75.60583333333334,4.744166666666667,70.86166666666666,,2.231986531986532,73.3738468013468,73.3738468013468,0.17535683975001928,449.09864999999996,435.84065,False,False,False,dwell_too_long
2_39_91_437_2019-08-02 15:51:21.912243,5d59eda5f9af8b5476889b1e,caltech,2-39-91-437,CA-317,39,3267.0,caltech_2019_raw.jsonl,False,2019-08-02 15:51:22+00:00,2019-08-08 22:04:21+00:00,2019-08-08 22:05:20+00:00,,2019-08-02 08:51:22-07:00,2019-08-08 15:04:21-07:00,2019-08-08 15:05:20-07:00,,531,904,8.85,15.066666666666666,4,Friday,weekday,True,1.008,16.0,1.008,delivered,585.0,40.0,,6.6,site_default_assumption,True,150.2163888888889,150.23277777777778,-0.01638888888888889,,0.1696969696969697,150.04669191919194,150.04669191919194,0.00671031974244562,892.28535,891.27735,False,False,False,dwell_too_long
2_39_92_436_2019-09-16 21:05:56.917654,5d954125f9af8b4500d3bc78,caltech,2-39-92-436,CA-318,39,565.0,caltech_2019_raw.jsonl,False,2019-09-16 21:05:57+00:00,2019-09-20 02:10:38+00:00,2019-09-16 22:49:31+00:00,,2019-09-16 14:05:57-07:00,2019-09-19 19:10:38-07:00,2019-09-16 15:49:31-07:00,,845,1150,14.083333333333334,19.166666666666668,0,Monday,weekday,True,10.621,19.98,10.621,delivered,653.0,60.0,,6.6,site_default_assumption,True,77.07805555555555,1.7261111111111112,75.35194444444444,,1.7880471380471383,75.29000841750842,75.29000841750842,0.13779538058461663,457.8436499999999,447.22264999999993,False,False,False,dwell_too_long
2_39_79_380_2019-09-19 18:22:13.358050,5d9935a8f9af8b5188e12fc8,caltech,2-39-79-380,CA-489,39,,caltech_2019_raw.jsonl,False,2019-09-19 18:22:13+00:00,2019-09-24 02:42:24+00:00,2019-09-23 23:40:12+00:00,,2019-09-19 11:22:13-07:00,2019-09-23 19:42:24-07:00,2019-09-23 16:40:12-07:00,,682,1182,11.366666666666667,19.7,3,Thursday,weekday,True,5.806,,5.806,delivered,,,,6.6,site_default_assumption,True,104.33638888888889,101.29972222222223,3.0366666666666666,,0.9774410774410776,103.35894781144782,103.35894781144782,0.055646932597820616,619.75815,613.95215,False,False,False,dwell_too_long
2_39_139_28_2019-10-07 00:52:16.312997,5daf9f0ff9af8b1d29c0a382,caltech,2-39-139-28,CA-303,39,1202.0,caltech_2019_raw.jsonl,False,2019-10-07 00:52:16+00:00,2019-10-09 01:44:48+00:00,2019-10-08 18:44:59+00:00,,2019-10-06 17:52:16-07:00,2019-10-08 18:44:48-07:00,2019-10-08 11:44:59-07:00,,1072,1124,17.866666666666667,18.733333333333334,6,Sunday,weekend,True,12.169,15.2,12.169,delivered,173.0,38.0,,6.6,site_default_assumption,True,48.87555555555556,41.87861111111111,6.996944444444445,,2.048653198653199,46.82690235690236,46.82690235690236,0.24897926707283805,290.32079999999996,278.1518,False,False,False,dwell_too_long
2_39_123_557_2019-11-07 19:23:55.184984,5dd9dd36f9af8b7ec95087dd,caltech,2-39-123-557,CA-503,39,,caltech_2019_raw.jsonl,False,2019-11-07 19:23:55+00:00,2019-11-09 21:02:10+00:00,2019-11-09 14:26:02+00:00,,2019-11-07 11:23:55-08:00,2019-11-09 13:02:10-08:00,2019-11-09 06:26:02-08:00,,683,782,11.383333333333333,13.033333333333333,3,Thursday,weekday,True,0.959,,0.959,delivered,,,,6.6,site_default_assumption,True,49.6375,43.03527777777778,6.602222222222222,,0.16144781144781145,49.47605218855219,49.47605218855219,0.019320070511206242,294.84675,293.88775,False,False,False,dwell_too_long
2_39_78_360_2019-12-27 18:08:38.243155,5e1bc823f9af8b45cfdfcc4e,caltech,2-39-78-360,CA-322,39,891.0,caltech_2019_raw.jsonl,False,2019-12-27 18:08:38+00:00,2019-12-29 21:58:26+00:00,2019-12-27 20:08:20+00:00,,2019-12-27 10:08:38-08:00,2019-12-29 13:58:26-08:00,2019-12-27 12:08:20-08:00,,608,838,10.133333333333333,13.966666666666667,4,Friday,weekday,True,6.032,8.0,6.032,delivered,215.0,20.0,,6.6,site_default_assumption,True,51.83,1.995,49.835,,1.0154882154882157,50.81451178451178,50.81451178451178,0.11638047462859348,307.87019999999995,301.8382,False,False,False,dwell_too_long
1_1_191_792_2019-04-16 00:01:27.554428,5cca3a54f9af8b49aaa4cbee,jpl,1-1-191-792,AG-4F37,1,2050.0,jpl_2019_raw.jsonl,False,2019-04-16 00:01:28+00:00,2019-04-18 00:20:42+00:00,2019-04-17 01:18:18+00:00,,2019-04-15 17:01:28-07:00,2019-04-17 17:20:42-07:00,2019-04-16 18:18:18-07:00,,1021,1040,17.016666666666666,17.333333333333332,0,Monday,weekday,True,39.97,39.96,39.97,delivered,878.0,120.0,,6.6,site_default_assumption,True,48.32055555555556,25.280555555555555,23.04,,6.728956228956229,41.59159932659933,41.59159932659933,0.8271841981213424,287.0241,247.05409999999998,False,False,False,dwell_too_long
1_1_179_809_2019-12-13 00:39:05.276985,5e0801eaf9af8b679852a8b3,jpl,1-1-179-809,AG-3F27,1,,jpl_2019_raw.jsonl,False,2019-12-13 00:39:05+00:00,2019-12-13 00:43:07+00:00,2019-12-13 00:43:18+00:00,,2019-12-12 16:39:05-08:00,2019-12-12 16:43:07-08:00,2019-12-12 16:43:18-08:00,,999,1003,16.65,16.716666666666665,3,Thursday,weekday,False,0.5657177777777778,,0.5657177777777778,delivered,,,,6.6,site_default_assumption,True,0.06722222222222222,0.07027777777777777,-0.0030555555555555557,,0.09523868312757203,-0.028016460905349802,0.0,8.415636363636363,0.3993,-0.16641777777777778,True,False,False,dwell_too_short
