Datetime,Predicted_Power_kW
2022-03-15 00:00:00,0.0
2022-03-15 00:05:00,0.0
2022-03-15 00:10:00,0.0
2022-03-15 00:15:00,0.0
2022-03-15 00:20:00,0.0
2022-03-15 00:25:00,0.0
2022-03-15 00:30:00,0.0
2022-03-15 00:35:00,0.0
2022-03-15 00:40:00,0.0
2022-03-15 00:45:00,0.0
2022-03-15 00:50:00,0.0
2022-03-15 00:55:00,0.0
2022-03-15 01:00:00,0.0
2022-03-15 01:05:00,0.0
2022-03-15 01:10:00,0.0
2022-03-15 01:15:00,0.0
2022-03-15 01:20:00,0.0
2022-03-15 01:25:00,0.0
2022-03-15 01:30:00,0.0
2022-03-15 01:35:00,0.0
2022-03-15 01:40:00,0.0
2022-03-15 01:45:00,0.0
2022-03-15 01:50:00,0.0
2022-03-15 01:55:00,0.0
2022-03-15 02:00:00,0.0
2022-03-15 02:05:00,0.0
2022-03-15 02:10:00,0.0
2022-03-15 02:15:00,0.0
2022-03-15 02:20:00,0.0
2022-03-15 02:25:00,0.0
2022-03-15 02:30:00,0.0
2022-03-15 02:35:00,0.0
2022-03-15 02:40:00,0.0
2022-03-15 02:45:00,0.0
2022-03-15 02:50:00,0.0
2022-03-15 02:55:00,0.0
2022-03-15 03:00:00,0.0
2022-03-15 03:05:00,0.0
2022-03-15 03:10:00,0.0
2022-03-15 03:15:00,0.0
2022-03-15 03:20:00,0.0
2022-03-15 03:25:00,0.0
2022-03-15 03:30:00,0.0
2022-03-15 03:35:00,0.0
2022-03-15 03:40:00,0.0
2022-03-15 03:45:00,0.0
2022-03-15 03:50:00,0.0
2022-03-15 03:55:00,0.0
2022-03-15 04:00:00,0.12994492
2022-03-15 04:05:00,0.12994492
2022-03-15 04:10:00,0.12994492
2022-03-15 04:15:00,0.12994492
2022-03-15 04:20:00,0.12994492
2022-03-15 04:25:00,0.12994492
2022-03-15 04:30:00,0.12994492
2022-03-15 04:35:00,0.12994492
2022-03-15 04:40:00,0.12994492
2022-03-15 04:45:00,0.12994492
2022-03-15 04:50:00,0.12994492
2022-03-15 04:55:00,0.12994492
2022-03-15 05:00:00,0.26976132
2022-03-15 05:05:00,0.26976132
2022-03-15 05:10:00,0.26976132
2022-03-15 05:15:00,0.26976132
2022-03-15 05:20:00,0.26976132
2022-03-15 05:25:00,0.26976132
2022-03-15 05:30:00,0.26976132
2022-03-15 05:35:00,0.26976132
2022-03-15 05:40:00,0.26976132
2022-03-15 05:45:00,0.26976132
2022-03-15 05:50:00,0.26976132
2022-03-15 05:55:00,0.26976132
2022-03-15 06:00:00,0.6415235
2022-03-15 06:05:00,1.0004117
2022-03-15 06:10:00,1.0043261
2022-03-15 06:15:00,1.0110558
2022-03-15 06:20:00,1.0159305
2022-03-15 06:25:00,1.0208234
2022-03-15 06:30:00,1.0208234
2022-03-15 06:35:00,1.0208234
2022-03-15 06:40:00,5.1890864
2022-03-15 06:45:00,7.513139
2022-03-15 06:50:00,8.609499
2022-03-15 06:55:00,9.260595
2022-03-15 07:00:00,8.443153
2022-03-15 07:05:00,8.697983
2022-03-15 07:10:00,8.5537615
2022-03-15 07:15:00,8.829319
2022-03-15 07:20:00,8.965095
2022-03-15 07:25:00,8.950081
2022-03-15 07:30:00,9.371704
2022-03-15 07:35:00,10.498226
2022-03-15 07:40:00,11.276791
2022-03-15 07:45:00,11.700287
2022-03-15 07:50:00,13.167967
2022-03-15 07:55:00,13.425211
2022-03-15 08:00:00,14.430138
2022-03-15 08:05:00,14.928176
2022-03-15 08:10:00,15.696762
2022-03-15 08:15:00,15.99384
2022-03-15 08:20:00,16.493595
2022-03-15 08:25:00,18.203714
2022-03-15 08:30:00,22.23946
2022-03-15 08:35:00,24.748014
