site,session_id,arrival_utc,departure_utc,energy_delivered_kwh,energy_required_kwh,max_power_kw,dwell_hours,exclusion_reason
caltech,2_39_123_23_2019-02-03 20:53:35.302183,2019-02-03 20:53:35+00:00,2019-02-09 17:50:05+00:00,14.162,14.162,6.6,140.94166666666666,dwell_too_long
caltech,2_39_129_17_2019-01-31 02:20:53.661205,2019-01-31 02:20:54+00:00,2019-02-02 03:27:07+00:00,15.75,15.75,6.6,49.103611111111114,dwell_too_long
caltech,2_39_95_27_2019-02-16 02:31:02.405020,2019-02-16 02:31:02+00:00,2019-02-19 05:22:16+00:00,44.899,44.899,6.6,74.85388888888889,dwell_too_long
caltech,2_39_128_18_2019-03-05 16:27:42.399597,2019-03-05 16:27:42+00:00,2019-03-09 03:33:46+00:00,6.067,6.067,6.6,83.10111111111111,dwell_too_long
caltech,2_39_127_19_2019-03-12 05:07:44.494336,2019-03-12 05:07:44+00:00,2019-03-14 05:33:47+00:00,11.71,11.71,6.6,48.43416666666667,dwell_too_long
caltech,2_39_91_437_2019-03-29 16:00:02.031826,2019-03-29 16:00:02+00:00,2019-04-07 14:19:21+00:00,13.198,13.198,6.6,214.32194444444445,dwell_too_long
caltech,2_39_127_19_2019-04-12 06:06:51.262929,2019-04-12 06:06:51+00:00,2019-04-17 02:20:31+00:00,1.056,1.056,6.6,116.22777777777777,dwell_too_long
caltech,2_39_130_31_2019-04-25 01:21:17.564385,2019-04-25 01:21:39+00:00,2019-04-27 19:10:47+00:00,13.96,13.96,6.6,65.81888888888889,dwell_too_long
caltech,2_39_126_20_2019-05-06 00:38:39.918068,2019-05-06 00:38:47+00:00,2019-05-06 00:43:54+00:00,0.574,0.574,6.6,0.08527777777777777,dwell_too_short
caltech,2_39_79_377_2019-05-05 09:22:37.577213,2019-05-05 09:22:38+00:00,2019-05-08 00:11:38+00:00,14.062,14.062,6.6,62.81666666666667,dwell_too_long
caltech,2_39_89_25_2019-05-15 06:05:06.827135,2019-05-15 06:05:07+00:00,2019-05-20 00:19:09+00:00,9.831,9.831,6.6,114.23388888888888,dwell_too_long
caltech,2_39_126_20_2019-05-26 00:38:24.422338,2019-05-26 00:38:32+00:00,2019-05-26 00:44:07+00:00,0.624,0.624,6.6,0.09305555555555556,dwell_too_short
caltech,2_39_138_29_2019-05-23 16:18:45.048941,2019-05-23 16:18:45+00:00,2019-05-28 15:13:05+00:00,1.084,1.084,6.6,118.90555555555555,dwell_too_long
caltech,2_39_79_382_2019-06-10 15:37:57.311736,2019-06-10 15:37:57+00:00,2019-06-12 17:07:39+00:00,0.896,0.896,6.6,49.495,dwell_too_long
caltech,2_39_127_19_2019-06-07 22:50:13.078217,2019-06-07 22:50:13+00:00,2019-06-10 01:15:36+00:00,14.882,14.882,6.6,50.42305555555556,dwell_too_long
caltech,2_39_95_27_2019-07-08 00:11:53.153549,2019-07-08 00:11:53+00:00,2019-07-11 03:52:35+00:00,12.17,12.17,6.6,75.67833333333333,dwell_too_long
caltech,2_39_92_442_2019-07-15 00:12:55.276321,2019-07-15 00:12:55+00:00,2019-07-18 03:49:16+00:00,13.258,13.258,6.6,75.60583333333334,dwell_too_long
caltech,2_39_91_437_2019-08-02 15:51:21.912243,2019-08-02 15:51:22+00:00,2019-08-08 22:04:21+00:00,1.008,1.008,6.6,150.2163888888889,dwell_too_long
caltech,2_39_92_436_2019-09-16 21:05:56.917654,2019-09-16 21:05:57+00:00,2019-09-20 02:10:38+00:00,10.621,10.621,6.6,77.07805555555555,dwell_too_long
caltech,2_39_79_380_2019-09-19 18:22:13.358050,2019-09-19 18:22:13+00:00,2019-09-24 02:42:24+00:00,5.806,5.806,6.6,104.33638888888889,dwell_too_long
caltech,2_39_139_28_2019-10-07 00:52:16.312997,2019-10-07 00:52:16+00:00,2019-10-09 01:44:48+00:00,12.169,12.169,6.6,48.87555555555556,dwell_too_long
caltech,2_39_123_557_2019-11-07 19:23:55.184984,2019-11-07 19:23:55+00:00,2019-11-09 21:02:10+00:00,0.959,0.959,6.6,49.6375,dwell_too_long
caltech,2_39_78_360_2019-12-27 18:08:38.243155,2019-12-27 18:08:38+00:00,2019-12-29 21:58:26+00:00,6.032,6.032,6.6,51.83,dwell_too_long
jpl,1_1_191_792_2019-04-16 00:01:27.554428,2019-04-16 00:01:28+00:00,2019-04-18 00:20:42+00:00,39.97,39.97,6.6,48.32055555555556,dwell_too_long
jpl,1_1_179_809_2019-12-13 00:39:05.276985,2019-12-13 00:39:05+00:00,2019-12-13 00:43:07+00:00,0.5657177777777778,0.5657177777777778,6.6,0.06722222222222222,dwell_too_short
office001,19_102_260_1640_2019-09-25 19:22:15.170146,2019-09-25 19:22:15+00:00,2019-09-28 04:48:46+00:00,52.744,52.744,6.6,57.441944444444445,dwell_too_long
