scenario_id,keele_date,scenario_site,fleet_size,participation_rate,participant_count,site_limit_kw,strategy,forecast_source,required_energy_kwh,delivered_energy_kwh,unserved_energy_kwh,service_rate,renewable_absorbed_kwh,residual_surplus_kwh,ev_grid_energy_kwh,peak_ev_kw,peak_total_load_kw
20230707_pooled_F10_P025_S42,2023-07-07,pooled,10,0.25,2,50.0,immediate,none,14.725000000000001,16.361111111111118,0.0,1.0,16.361111111111118,12260.382705354143,0.0,13.2,2062.154
20230707_pooled_F10_P025_S42,2023-07-07,pooled,10,0.25,2,50.0,fixed_delayed,none,14.725000000000001,16.361111111111118,0.0,1.0,16.361111111111118,12260.382705354143,0.0,13.2,2062.154
20230707_pooled_F10_P025_S43,2023-07-07,pooled,10,0.25,2,50.0,immediate,none,16.762999999999998,18.625555555555557,0.0,1.0,18.625555555555557,12695.19020030618,0.0,13.2,2068.754
20230707_pooled_F10_P025_S43,2023-07-07,pooled,10,0.25,2,50.0,fixed_delayed,none,16.762999999999998,18.625555555555557,0.0,1.0,18.625555555555557,12695.19020030618,0.0,13.2,2062.154
20230707_pooled_F10_P050_S42,2023-07-07,pooled,10,0.5,5,50.0,immediate,none,64.482,71.42666666666668,0.0,1.0,26.876666666666672,12686.93908919507,44.55,13.2,2062.154
20230707_pooled_F10_P050_S42,2023-07-07,pooled,10,0.5,5,50.0,fixed_delayed,none,64.482,71.42666666666668,0.0,1.0,34.57666666666667,12679.23908919507,36.85,13.2,2062.154
20230707_pooled_F10_P050_S43,2023-07-07,pooled,10,0.5,5,50.0,immediate,none,39.417,43.796666666666674,0.0,1.0,26.41666666666667,12687.39908919507,17.380000000000003,13.2,2068.754
20230707_pooled_F10_P050_S43,2023-07-07,pooled,10,0.5,5,50.0,fixed_delayed,none,39.417,43.796666666666674,0.0,1.0,33.016666666666666,12680.79908919507,10.780000000000005,19.799999999999997,2062.154
20230707_pooled_F10_P075_S42,2023-07-07,pooled,10,0.75,8,50.0,immediate,none,96.707,107.23222222222223,0.0,1.0,61.84444444444447,12651.971311417292,45.387777777777785,13.2,2075.354
20230707_pooled_F10_P075_S42,2023-07-07,pooled,10,0.75,8,50.0,fixed_delayed,none,96.707,107.23222222222223,0.0,1.0,70.38222222222224,12643.433533639516,36.85,26.4,2068.769
20230707_pooled_F10_P075_S43,2023-07-07,pooled,10,0.75,8,50.0,immediate,none,55.873999999999995,62.08222222222222,0.0,1.0,39.202222222222225,12674.613533639516,22.880000000000003,13.2,2068.754
20230707_pooled_F10_P075_S43,2023-07-07,pooled,10,0.75,8,50.0,fixed_delayed,none,55.873999999999995,62.08222222222222,0.0,1.0,51.30222222222222,12662.513533639514,10.780000000000005,37.693333333333335,2062.154
20230707_pooled_F10_P100_S42,2023-07-07,pooled,10,1.0,10,50.0,immediate,none,106.681,118.31444444444445,0.0,1.0,72.92666666666669,12640.889089195072,45.387777777777785,19.799999999999997,2075.354
20230707_pooled_F10_P100_S42,2023-07-07,pooled,10,1.0,10,50.0,fixed_delayed,none,106.681,118.31444444444445,0.0,1.0,81.46444444444445,12632.351311417291,36.85,39.599999999999994,2068.769
20230707_pooled_F10_P100_S43,2023-07-07,pooled,10,1.0,10,50.0,immediate,none,57.448,63.83111111111111,0.0,1.0,40.13888888888889,12673.676866972848,23.692222222222227,19.799999999999997,2068.754
20230707_pooled_F10_P100_S43,2023-07-07,pooled,10,1.0,10,50.0,fixed_delayed,none,57.448,63.44444444444444,0.29300000000000004,0.9,52.66444444444444,12661.151311417292,10.780000000000005,40.84,2064.765
20230707_pooled_F25_P025_S42,2023-07-07,pooled,25,0.25,6,100.0,immediate,none,82.078,90.97777777777779,0.0,1.0,46.427777777777784,12667.387978083958,44.55,13.2,2068.754
