date,renewable_energy_kwh,campus_energy_kwh,surplus_energy_kwh,peak_surplus_kw,valid_intervals,total_intervals,surplus_intervals,data_completeness
2023-07-07,37359.651338025586,38904.22991666666,12713.815755861737,3015.4863808065033,288,288,106,1.0
2023-07-09,24080.66541547062,31463.751833333332,10552.383127156148,3500.0587338522846,288,288,69,1.0
2022-06-26,32409.776749999997,29674.137333333332,9023.666,1376.5910000000001,288,288,151,1.0
2023-07-02,26323.755225345667,30997.244166666664,8810.71335698221,2373.7341677129943,288,288,122,1.0
2022-05-14,28042.93358333333,32688.382916666666,8555.556999999999,1523.84,288,288,103,1.0
2023-04-07,35193.68666666667,40784.114166666666,8399.88625,1488.9620000000004,288,288,97,1.0
2023-04-22,23084.853116021928,32905.79197808219,8398.182138803071,2291.222319905986,288,288,105,1.0
2023-09-03,25661.8975,29287.39633333333,8332.003166666667,1568.5369999999998,288,288,100,1.0
2023-06-14,40607.64883333333,44073.20516666667,7775.2477499999995,1544.163,288,288,110,1.0
2022-07-16,24187.17508333333,27130.303333333333,7744.06975,1516.7040000000002,288,288,106,1.0
2023-06-15,39079.4585,43855.325,7542.757583333333,1494.114,288,288,104,1.0
2023-06-11,32955.970916666665,36502.5075,7466.778916666666,2062.236,288,288,110,1.0
2023-06-03,30979.99658333333,39560.69825,7465.302,2275.45,288,288,114,1.0
2022-04-16,24374.215249999997,29344.852,7454.6185,1624.64,288,288,96,1.0
2023-03-27,19409.977910966256,29466.626094763094,7409.21836323067,2931.1210963999993,288,288,84,1.0
2023-10-29,20669.882221978045,37237.689572254334,7408.956782853549,2374.682639912944,288,288,80,1.0
2023-06-04,31273.182416666667,38445.14866666667,7280.502916666666,2310.337,288,288,113,1.0
2022-04-17,24137.79925,28413.910916666664,7245.243916666666,1419.6620000000003,288,288,100,1.0
2023-08-10,32366.239166666666,38556.97425,7233.60175,1690.6279999999997,288,288,103,1.0
2023-04-20,41223.65708333333,49299.330416666664,7167.366666666666,1723.3249999999998,288,288,95,1.0
2023-06-13,41087.25516666666,44883.9995,7124.836666666666,1615.1690000000003,288,288,108,1.0
2023-06-10,29651.638166666664,36009.49608333333,7097.758416666667,2026.8049999999998,288,288,105,1.0
2023-09-05,32125.322666666663,37668.495416666665,7062.545666666666,1465.8919999999998,288,288,97,1.0
2023-06-05,36336.169083333334,44119.61604166667,6967.365583333333,1541.5010000000002,288,288,85,1.0
2023-06-16,37644.4225,42950.934,6844.980333333332,1568.9879999999994,288,288,94,1.0
2023-08-19,27180.07825,31401.911083333332,6717.741166666667,1996.2680000000003,288,288,94,1.0
2022-04-30,23636.08325,30766.94283333333,6566.108666666666,1688.773,288,288,99,1.0
2022-06-25,29016.606,30468.446,6558.856499999999,1513.551,288,288,126,1.0
2023-05-27,30677.880083333333,39647.259,6442.389333333333,2347.63,288,288,110,1.0
2022-06-22,29492.03658333333,35886.07425,6404.826666666666,2056.8700000000003,288,288,98,1.0
2023-04-08,29808.66,36391.693583333334,6364.059249999999,1498.565,288,288,84,1.0
2023-06-08,38965.95766666666,44479.2365,6297.269083333334,1824.5250000000005,288,288,83,1.0
2023-10-03,21763.983091047725,45027.491589158344,6289.810291824623,3188.980280922937,288,288,53,1.0
2023-05-13,31062.77908333333,41213.78191666667,6229.300916666666,1791.045,288,288,106,1.0
2022-07-19,30596.7005,39560.878749999996,6226.4288333333325,1336.5939999999996,288,288,86,1.0
2023-05-29,31635.228,42591.872124999994,6222.142,2201.72,288,288,95,1.0
2022-06-21,33576.93583333333,41178.81933333333,6200.9797499999995,1761.9740000000006,288,288,101,1.0
2023-06-22,32582.923,40795.09566666667,6178.697749999999,1606.1389999999997,288,288,79,1.0
2023-07-29,21313.517666666667,32049.948,6157.3412499999995,2032.948,288,288,76,1.0
2023-10-04,20321.44914748683,36104.31651355206,6138.204419455868,3361.7943329883174,288,288,70,1.0
2023-09-02,22380.897083333333,29335.35008333333,6115.122333333333,1528.936,288,288,81,1.0
2022-08-10,30487.496333333333,37228.9585,6097.770333333333,1496.812,288,288,93,1.0
2023-05-20,30141.287416666666,43231.551,6090.455499999999,2318.586999999999,288,288,105,1.0
2023-04-04,35490.57275,44325.928916666664,6080.710999999999,1301.1310000000008,288,288,88,1.0
2022-07-18,29907.43708333333,37687.88491666666,6050.477,1442.0950000000003,288,288,91,1.0
2023-08-20,22591.696916666664,28071.70408333333,6047.209083333333,1505.778,288,288,96,1.0
2023-06-09,38515.046083333335,43576.041249999995,6030.636416666666,1947.2290000000003,288,288,110,1.0
2023-05-24,37589.3555,50369.13491666666,6017.68625,1993.549,288,288,78,1.0
2023-05-15,37536.286166666665,51965.17475,5910.943749999999,1643.3049999999998,288,288,75,1.0
2023-07-23,25943.112999999998,30521.667416666663,5885.406499999999,1849.9279999999999,288,288,105,1.0
2023-10-15,20789.217166666665,40122.28483333333,5831.3964166666665,1496.6180000000004,288,288,72,1.0
2023-09-09,23178.28583333333,32280.686583333332,5828.389916666666,1363.9519999999998,288,288,87,1.0
2023-05-21,27895.158,41874.75975,5662.3785,2130.186,288,288,102,1.0
2023-09-04,28768.056249999998,36175.730749999995,5659.553666666666,1122.9499999999998,288,288,91,1.0
2022-06-17,30111.160666666663,35702.23208333333,5659.310166666666,1515.826,288,288,104,1.0
2023-06-02,34247.043333333335,45469.01141666666,5638.991333333333,1877.7330000000002,288,288,74,1.0
2023-05-22,34730.67316666667,51167.81120833333,5451.578666666666,2591.1059999999998,288,288,74,1.0
2022-05-19,28811.484833333332,40371.739499999996,5446.477166666667,1402.3679999999995,288,288,73,1.0
2023-04-03,36279.359749999996,45562.814999999995,5316.971416666666,1308.904,288,288,88,1.0
2023-08-17,27011.664083333333,37989.29283333333,5305.381916666666,2078.136,288,288,75,1.0
2022-07-17,22622.066499999997,27928.907416666665,5278.906666666666,1374.9900000000002,288,288,117,1.0
2022-04-21,31264.050916666663,37398.26383333333,5222.205249999999,1491.312,288,288,93,1.0
2022-08-09,27582.92025,35167.5205,5217.917666666666,1479.6780000000003,288,288,88,1.0
2022-06-11,28547.054249999997,34857.183,5145.645833333333,1134.957,288,288,127,1.0
2022-06-04,26933.92325,34376.089583333334,4994.931166666666,1292.6710000000003,288,288,114,1.0
2022-08-06,21110.238999999998,26952.03975,4950.389916666666,1436.2239999999997,288,288,117,1.0
