scenario_id,keele_date,scenario_site,fleet_size,participation_rate,participant_count,random_seed,site_limit_kw,total_energy_required_kwh,median_dwell_hours,energy_clipped_sessions
20230707_pooled_F10_P025_S42,2023-07-07,pooled,10,0.25,2,42,50.0,14.725000000000001,2.966666666666667,0
20230707_pooled_F10_P025_S43,2023-07-07,pooled,10,0.25,2,43,50.0,16.762999999999998,7.741666666666667,0
20230707_pooled_F10_P050_S42,2023-07-07,pooled,10,0.5,5,42,50.0,64.482,3.6333333333333333,2
20230707_pooled_F10_P050_S43,2023-07-07,pooled,10,0.5,5,43,50.0,39.416999999999994,7.533333333333333,2
20230707_pooled_F10_P075_S42,2023-07-07,pooled,10,0.75,8,42,50.0,96.707,6.016666666666667,2
20230707_pooled_F10_P075_S43,2023-07-07,pooled,10,0.75,8,43,50.0,55.873999999999995,7.258333333333333,2
20230707_pooled_F10_P100_S42,2023-07-07,pooled,10,1.0,10,42,50.0,106.681,7.133333333333333,2
20230707_pooled_F10_P100_S43,2023-07-07,pooled,10,1.0,10,43,50.0,57.448,7.258333333333333,2
20230707_pooled_F25_P025_S42,2023-07-07,pooled,25,0.25,6,42,100.0,82.078,4.2,2
20230707_pooled_F25_P025_S43,2023-07-07,pooled,25,0.25,6,43,100.0,49.42399999999999,7.199999999999999,2
20230707_pooled_F25_P050_S42,2023-07-07,pooled,25,0.5,12,42,100.0,123.061,7.616666666666667,2
20230707_pooled_F25_P050_S43,2023-07-07,pooled,25,0.5,12,43,100.0,90.458,7.741666666666667,2
20230707_pooled_F25_P075_S42,2023-07-07,pooled,25,0.75,19,42,100.0,193.329,7.0,2
20230707_pooled_F25_P075_S43,2023-07-07,pooled,25,0.75,19,43,100.0,192.90199999999996,7.95,2
20230707_pooled_F25_P100_S42,2023-07-07,pooled,25,1.0,25,42,100.0,223.24900000000002,6.433333333333334,2
20230707_pooled_F25_P100_S43,2023-07-07,pooled,25,1.0,25,43,100.0,221.69899999999998,7.95,2
20230707_pooled_F50_P025_S42,2023-07-07,pooled,50,0.25,12,42,200.0,123.061,7.616666666666667,2
20230707_pooled_F50_P025_S43,2023-07-07,pooled,50,0.25,12,43,200.0,90.458,7.741666666666667,2
20230707_pooled_F50_P050_S42,2023-07-07,pooled,50,0.5,25,42,200.0,223.24900000000002,6.433333333333334,2
20230707_pooled_F50_P050_S43,2023-07-07,pooled,50,0.5,25,43,200.0,221.69899999999998,7.95,2
20230707_pooled_F50_P075_S42,2023-07-07,pooled,50,0.75,38,42,200.0,391.22999999999996,5.6,4
20230707_pooled_F50_P075_S43,2023-07-07,pooled,50,0.75,38,43,200.0,379.10200000000003,7.566666666666666,3
20230707_pooled_F50_P100_S42,2023-07-07,pooled,50,1.0,50,42,200.0,605.239,6.683333333333334,5
20230707_pooled_F50_P100_S43,2023-07-07,pooled,50,1.0,50,43,200.0,547.559,7.800000000000001,4
20230707_pooled_F100_P025_S42,2023-07-07,pooled,100,0.25,25,42,350.0,223.24900000000002,6.433333333333334,2
20230707_pooled_F100_P025_S43,2023-07-07,pooled,100,0.25,25,43,350.0,221.69899999999998,7.95,2
20230707_pooled_F100_P050_S42,2023-07-07,pooled,100,0.5,50,42,350.0,605.239,6.683333333333334,5
20230707_pooled_F100_P050_S43,2023-07-07,pooled,100,0.5,50,43,350.0,547.559,7.800000000000001,4
20230707_pooled_F100_P075_S42,2023-07-07,pooled,100,0.75,75,42,350.0,908.832,6.483333333333333,5
20230707_pooled_F100_P075_S43,2023-07-07,pooled,100,0.75,75,43,350.0,879.808,7.35,5
20230707_pooled_F100_P100_S42,2023-07-07,pooled,100,1.0,100,42,350.0,1217.0790000000002,6.683333333333334,7
20230707_pooled_F100_P100_S43,2023-07-07,pooled,100,1.0,100,43,350.0,1175.0570000000002,6.983333333333333,8
20230707_caltech_F10_P025_S42,2023-07-07,caltech,10,0.25,2,42,50.0,23.299999999999997,8.533333333333333,0
20230707_caltech_F10_P025_S43,2023-07-07,caltech,10,0.25,2,43,50.0,6.024,5.275,0
20230707_caltech_F10_P050_S42,2023-07-07,caltech,10,0.5,5,42,50.0,51.245,8.133333333333333,0
20230707_caltech_F10_P050_S43,2023-07-07,caltech,10,0.5,5,43,50.0,35.04,8.05,0
20230707_caltech_F10_P075_S42,2023-07-07,caltech,10,0.75,8,42,50.0,76.529,7.1083333333333325,0
20230707_caltech_F10_P075_S43,2023-07-07,caltech,10,0.75,8,43,50.0,93.517,7.066666666666666,0
20230707_caltech_F10_P100_S42,2023-07-07,caltech,10,1.0,10,42,50.0,107.81,7.1083333333333325,0
20230707_caltech_F10_P100_S43,2023-07-07,caltech,10,1.0,10,43,50.0,96.415,7.066666666666666,0
20230707_caltech_F25_P025_S42,2023-07-07,caltech,25,0.25,6,42,100.0,53.623999999999995,8.274999999999999,0
20230707_caltech_F25_P025_S43,2023-07-07,caltech,25,0.25,6,43,100.0,46.234,7.066666666666666,0
20230707_caltech_F25_P050_S42,2023-07-07,caltech,25,0.5,12,42,100.0,124.732,5.949999999999999,1
20230707_caltech_F25_P050_S43,2023-07-07,caltech,25,0.5,12,43,100.0,124.12400000000001,7.983333333333334,0
20230707_caltech_F25_P075_S42,2023-07-07,caltech,25,0.75,19,42,100.0,200.541,6.333333333333333,2
20230707_caltech_F25_P075_S43,2023-07-07,caltech,25,0.75,19,43,100.0,179.01078255674867,8.05,0
20230707_caltech_F25_P100_S42,2023-07-07,caltech,25,1.0,25,42,100.0,238.98,6.333333333333333,3
20230707_caltech_F25_P100_S43,2023-07-07,caltech,25,1.0,25,43,100.0,228.94778255674865,7.916666666666667,0
20230707_caltech_F50_P025_S42,2023-07-07,caltech,50,0.25,12,42,200.0,124.732,5.949999999999999,1
20230707_caltech_F50_P025_S43,2023-07-07,caltech,50,0.25,12,43,200.0,124.12400000000001,7.983333333333334,0
20230707_caltech_F50_P050_S42,2023-07-07,caltech,50,0.5,25,42,200.0,238.98,6.333333333333333,3
20230707_caltech_F50_P050_S43,2023-07-07,caltech,50,0.5,25,43,200.0,228.94778255674865,7.916666666666667,0
20230707_caltech_F50_P075_S42,2023-07-07,caltech,50,0.75,38,42,200.0,363.9,7.033333333333333,3
20230707_caltech_F50_P075_S43,2023-07-07,caltech,50,0.75,38,43,200.0,424.0737825567487,7.324999999999999,0
20230707_caltech_F50_P100_S42,2023-07-07,caltech,50,1.0,50,42,200.0,435.92199999999997,6.266666666666667,4
20230707_caltech_F50_P100_S43,2023-07-07,caltech,50,1.0,50,43,200.0,499.1347825567487,6.641666666666667,1
20230707_caltech_F100_P025_S42,2023-07-07,caltech,100,0.25,25,42,350.0,238.98,6.333333333333333,3
20230707_caltech_F100_P025_S43,2023-07-07,caltech,100,0.25,25,43,350.0,228.94778255674865,7.916666666666667,0
20230707_caltech_F100_P050_S42,2023-07-07,caltech,100,0.5,50,42,350.0,435.92199999999997,6.266666666666667,4
20230707_caltech_F100_P050_S43,2023-07-07,caltech,100,0.5,50,43,350.0,499.1347825567487,6.641666666666667,1
20230707_caltech_F100_P075_S42,2023-07-07,caltech,100,0.75,75,42,350.0,661.5009999999999,6.616666666666666,6
20230707_caltech_F100_P075_S43,2023-07-07,caltech,100,0.75,75,43,350.0,791.5937825567487,7.083333333333333,3
20230707_caltech_F100_P100_S42,2023-07-07,caltech,100,1.0,100,42,350.0,890.058508611111,6.483333333333333,6
20230707_caltech_F100_P100_S43,2023-07-07,caltech,100,1.0,100,43,350.0,1050.7267825567487,6.875,4
20230707_jpl_F10_P025_S42,2023-07-07,jpl,10,0.25,2,42,50.0,18.355,5.541666666666667,0
20230707_jpl_F10_P025_S43,2023-07-07,jpl,10,0.25,2,43,50.0,33.179,6.783333333333333,0
